지점,지점명,일시,평균기온(°C),최저기온(°C),최저기온 시각(hhmi),최고기온(°C),최고기온 시각(hhmi),일강수량(mm)
108,서울,2019-03-06,8.4,5.7,727,12.4,1555,
108,서울,2019-03-07,7,3.1,625,12.7,1455,
108,서울,2019-03-08,6.1,.6,712,13.4,1438,
108,서울,2019-03-09,7.2,-.4,712,14.9,1522,
108,서울,2019-03-10,10.1,6.7,725,15.3,1514,
108,서울,2019-03-11,6.6,3.5,710,10,1513,0
108,서울,2019-03-12,3.9,-.3,2354,7.9,1314,0
108,서울,2019-03-13,3.5,-.4,239,8.5,1456,0
108,서울,2019-03-14,5,-1.7,517,10,1307,0
108,서울,2019-03-15,5.5,1.6,2357,11.3,1508,3.5
108,서울,2019-03-16,4.3,.2,546,9.2,1326,
108,서울,2019-03-17,6.3,2.6,503,12.4,1617,
108,서울,2019-03-18,7.1,1.4,658,14.4,1440,
108,서울,2019-03-19,10,3.4,654,16.7,1456,
108,서울,2019-03-20,10.3,7.1,555,14.6,1415,16.5
108,서울,2019-03-21,7.1,1.9,2355,11.1,1304,3.3
108,서울,2019-03-22,3.3,-.7,613,8.3,1548,
108,서울,2019-03-23,3.3,-.4,549,8.2,1537,1.7
108,서울,2019-03-24,4.3,-.8,656,9.7,1423,
108,서울,2019-03-25,7.3,2.9,256,11.5,1636,
108,서울,2019-03-26,11.4,7.4,424,17.6,1602,
108,서울,2019-03-27,11.6,8.9,18,16.2,1240,
108,서울,2019-03-28,9.4,5.6,648,14.6,1523,
108,서울,2019-03-29,9.2,5.5,602,15.1,1406,
108,서울,2019-03-30,5.2,3.5,2017,8.4,1426,1.8
108,서울,2019-03-31,4.4,2.6,2356,8.4,1537,0
108,서울,2019-04-01,5.5,.3,555,11.3,1456,
108,서울,2019-04-02,6.7,1.3,538,13,1611,
108,서울,2019-04-03,7.6,1.9,604,13.6,1446,
108,서울,2019-04-04,9.2,3,535,15.7,1511,
108,서울,2019-04-05,11.4,7,305,17.2,1521,0
108,서울,2019-04-06,9.3,5.9,541,12.2,1234,.8
108,서울,2019-04-07,12.6,5.6,650,20.3,1505,
108,서울,2019-04-08,11.6,7.6,640,17.2,1611,
108,서울,2019-04-09,9.2,4.7,2233,13.9,1425,17.4
108,서울,2019-04-10,7.1,4.7,17,10.2,1813,5.6
108,서울,2019-04-11,9.5,4.3,529,15.7,1320,
108,서울,2019-04-12,11.4,5.5,627,18.4,1426,
108,서울,2019-04-13,11.8,6.2,551,17.9,1509,
108,서울,2019-04-14,9.6,6.9,2347,13.6,1557,1.7
108,서울,2019-04-15,11.6,3.9,603,18.1,1408,
108,서울,2019-04-16,14.9,6.8,630,22.6,1418,
108,서울,2019-04-17,15.3,9.1,543,21.8,1222,
108,서울,2019-04-18,12.6,10.4,2358,16.2,1315,0
108,서울,2019-04-19,13.8,9.6,321,19.7,1611,
108,서울,2019-04-20,14.3,9.7,419,19.1,1503,1.2
108,서울,2019-04-21,14.8,12.2,428,20.2,1610,.3
108,서울,2019-04-22,19.3,10.7,537,28.2,1611,
108,서울,2019-04-23,20.4,15.3,557,25.5,1422,0
108,서울,2019-04-24,19.5,15.8,558,25.9,1531,4.1
108,서울,2019-04-25,13.2,9.4,2355,17.2,419,11.3
108,서울,2019-04-26,8.4,6.2,2345,9.9,1312,4.9
108,서울,2019-04-27,11.6,4.1,514,18.2,1511,
108,서울,2019-04-28,12.9,9.9,2352,16.6,1448,0
108,서울,2019-04-29,13,8.3,552,17.3,1742,
108,서울,2019-04-30,15.5,9,547,22.5,1538,
108,서울,2019-05-01,16.4,11.2,603,22.2,1409,
108,서울,2019-05-02,17.1,10.6,555,25.3,1454,
108,서울,2019-05-03,17.9,10.1,550,26.1,1413,
108,서울,2019-05-04,19.5,12,601,27.4,1456,
108,서울,2019-05-05,19.2,13.6,603,26.5,1306,
108,서울,2019-05-06,14.5,9.8,601,19.8,1554,0
108,서울,2019-05-07,15,8.4,602,21.9,1434,
108,서울,2019-05-08,15.6,10.1,537,21.3,1536,
108,서울,2019-05-09,16.6,11.7,532,22.9,1527,
108,서울,2019-05-10,17.8,10.3,543,26.8,1518,
108,서울,2019-05-11,20.3,13.2,545,28.3,1430,
108,서울,2019-05-12,21.6,14.7,506,28.9,1524,
108,서울,2019-05-13,18.7,15.5,2332,22.8,1244,0
108,서울,2019-05-14,19.6,12.9,517,26.9,1429,
108,서울,2019-05-15,20.7,14.8,529,28,1542,
108,서울,2019-05-16,23.5,16.7,539,30,1450,
108,서울,2019-05-17,23.6,17.6,543,28.3,1528,
108,서울,2019-05-18,22.8,19.1,607,25.9,1631,0
108,서울,2019-05-19,19.4,17.9,542,21.6,1,22
108,서울,2019-05-20,16.4,13,2352,20.2,43,8.7
108,서울,2019-05-21,17.2,11.7,507,23.8,1449,
108,서울,2019-05-22,19.5,12.3,559,26.5,1539,
108,서울,2019-05-23,22.1,15,543,29.2,1607,
108,서울,2019-05-24,24.2,16.2,520,33.4,1622,
108,서울,2019-05-25,23.4,18.4,604,28.6,1538,
108,서울,2019-05-26,24.5,18.6,613,31.1,1342,
108,서울,2019-05-27,17.8,14.3,2356,22.3,221,7.1
108,서울,2019-05-28,18.1,11.9,515,24.6,1444,
108,서울,2019-05-29,20.3,13.3,517,26.5,1459,
108,서울,2019-05-30,19.6,14.6,511,24.5,1123,0
108,서울,2019-05-31,19.1,16.1,2355,23.3,1448,
108,서울,2019-06-01,18.9,14.8,321,23.7,1714,
108,서울,2019-06-02,21.1,14.1,524,27.8,1438,
108,서울,2019-06-03,23.1,16,545,29.5,1633,
108,서울,2019-06-04,22.6,17.6,517,29,1414,
108,서울,2019-06-05,23,17.8,236,29.6,1406,
108,서울,2019-06-06,21.2,18.6,345,25.1,1336,7.5
108,서울,2019-06-07,20,17,515,24.7,1742,35.3
108,서울,2019-06-08,21.9,16,504,27.6,1434,
108,서울,2019-06-09,21.6,17.1,2324,26.5,1302,2.5
108,서울,2019-06-10,18.4,15.7,359,21.9,1639,9.5
108,서울,2019-06-11,20.5,15.5,553,26.1,1604,
108,서울,2019-06-12,21.5,16.1,538,26.4,1404,
108,서울,2019-06-13,23,16.6,534,28.8,1549,
108,서울,2019-06-14,23,19.1,528,28.4,1506,
108,서울,2019-06-15,21.9,17.9,2359,27.4,1613,2.1
108,서울,2019-06-16,22,16.1,526,27.2,1619,
108,서울,2019-06-17,21.7,18.1,614,26.2,1515,0
108,서울,2019-06-18,20.8,17,722,24.8,1345,13.8
108,서울,2019-06-19,21.4,18.9,428,25.4,1417,.2
108,서울,2019-06-20,22.7,19.8,525,27.8,1602,
108,서울,2019-06-21,22.1,19.4,220,26.1,1503,.2
108,서울,2019-06-22,24.2,17.7,501,30.6,1523,
108,서울,2019-06-23,25,19.1,554,31,1603,
108,서울,2019-06-24,25.2,20.9,548,30.9,1440,
108,서울,2019-06-25,25.6,19.5,517,32.8,1532,
108,서울,2019-06-26,25.5,20.7,531,29.5,1533,0
108,서울,2019-06-27,25.5,21.9,525,31.2,1410,1.4
108,서울,2019-06-28,24.7,22.3,2357,29,1546,0
108,서울,2019-06-29,23.1,19.6,726,27.7,1639,1.5
108,서울,2019-06-30,23.9,20.9,525,28.5,1248,0
108,서울,2019-07-01,23.9,20.6,417,28.9,1551,
108,서울,2019-07-02,24.4,20.8,541,30.1,1428,
108,서울,2019-07-03,24.1,21.2,435,27.4,1140,
108,서울,2019-07-04,25.4,20,535,32.8,1426,
108,서울,2019-07-05,27.6,20.2,448,35,1526,0
108,서울,2019-07-06,29.7,24.6,546,36.1,1535,
108,서울,2019-07-07,26.7,22.7,2350,32.5,1520,
108,서울,2019-07-08,25.1,21.2,502,31,1459,
108,서울,2019-07-09,25,19.7,530,30,1326,
108,서울,2019-07-10,22.7,19.3,2216,27.3,1147,8.5
108,서울,2019-07-11,21.9,19.5,1,25.9,1320,2.9
108,서울,2019-07-12,23.6,20,353,28.7,1524,
108,서울,2019-07-13,24.9,22.1,522,29.7,1514,0
108,서울,2019-07-14,25.9,21.2,455,31.6,1356,
108,서울,2019-07-15,23.8,22.1,2001,27.4,1152,7.7
108,서울,2019-07-16,24.7,21.4,402,28.8,1644,6.3
108,서울,2019-07-17,25.6,22.3,555,29.2,1546,.7
108,서울,2019-07-18,26.9,23.3,505,32.1,1515,
108,서울,2019-07-19,28.6,22.8,546,35,1450,0
108,서울,2019-07-20,28,25.1,846,31.9,1527,1.1
108,서울,2019-07-21,25.1,24.2,546,27,3,6.2
108,서울,2019-07-22,26.7,24.2,355,31,1709,.1
108,서울,2019-07-23,28.1,24.4,158,32.9,1613,
108,서울,2019-07-24,26.5,25.2,851,27.2,2,1
108,서울,2019-07-25,26.3,25.6,552,27.4,1425,9.7
108,서울,2019-07-26,25.1,23.7,927,25.9,1,60
108,서울,2019-07-27,28.4,24.9,442,33.4,1523,.6
108,서울,2019-07-28,26.1,25,1128,28.2,1,25.6
108,서울,2019-07-29,27.5,25.6,539,30,1552,.5
108,서울,2019-07-30,28.1,26.3,721,30.8,1332,1.2
108,서울,2019-07-31,25.8,24,950,27.5,2,62.3
108,서울,2019-08-01,26.3,23.5,906,30.1,1626,26.9
108,서울,2019-08-02,28.4,24.7,432,33.1,1715,
108,서울,2019-08-03,29.4,25.6,536,36,1411,3
108,서울,2019-08-04,28.3,25,544,34.4,1442,8.6
108,서울,2019-08-05,30.5,25.6,528,35.9,1530,
108,서울,2019-08-06,31.6,27.9,539,36.8,1450,
108,서울,2019-08-07,26.9,23.9,756,30.3,1801,8
108,서울,2019-08-08,28.9,25.9,602,32.7,1504,0
108,서울,2019-08-09,29.8,26,601,34.6,1704,
108,서울,2019-08-10,31.5,26.6,545,36.5,1450,
108,서울,2019-08-11,30.4,26.3,600,35.7,1546,6.7
108,서울,2019-08-12,26.6,24.8,127,28.5,1638,56.2
108,서울,2019-08-13,29.2,25.1,658,35.3,1604,6.4
108,서울,2019-08-14,30.4,25.9,549,35.7,1345,
108,서울,2019-08-15,25.9,23.9,2334,28.6,1,16.2
108,서울,2019-08-16,25.9,23,526,29.5,1414,.1
108,서울,2019-08-17,25.9,23.4,2357,28.8,1539,0
108,서울,2019-08-18,25.6,22.6,549,30.7,1558,
108,서울,2019-08-19,26.3,21.2,552,31.3,1532,
108,서울,2019-08-20,28.2,23.2,555,32.8,1450,
108,서울,2019-08-21,27,24.4,633,30.4,1159,1.3
108,서울,2019-08-22,26.9,23,444,31.4,1355,
108,서울,2019-08-23,26.2,22.7,628,30.5,1433,
108,서울,2019-08-24,24.1,21.5,433,27.3,1504,
108,서울,2019-08-25,25,20.2,543,29.9,1445,
108,서울,2019-08-26,26.4,21.5,619,32.1,1537,
108,서울,2019-08-27,25.7,22.2,622,29.3,1643,20
108,서울,2019-08-28,26.1,23.6,621,30.2,1509,
108,서울,2019-08-29,23.4,20.1,1113,26.4,1635,36.9
108,서울,2019-08-30,22.6,19.5,528,27,1427,.2
108,서울,2019-08-31,23.5,18.5,614,28.9,1617,
108,서울,2019-09-01,23.7,19.2,602,27.8,1538,
108,서울,2019-09-02,24.4,19.4,642,29.7,1432,
108,서울,2019-09-03,24.1,22,632,28,1504,0
108,서울,2019-09-04,22.8,21.2,821,25.5,1609,22.7
108,서울,2019-09-05,23,21.5,1700,27.6,1221,36.4
108,서울,2019-09-06,25.3,21.6,1,29.1,1358,2.4
108,서울,2019-09-07,25.7,22.6,2011,29.5,1152,2.8
108,서울,2019-09-08,24.7,22.9,632,27.3,1403,0
108,서울,2019-09-09,25.1,22.4,605,28,1225,0
108,서울,2019-09-10,23.8,22.1,644,26.5,1235,63.2
108,서울,2019-09-11,24.3,20.4,621,28.7,1323,7.6
108,서울,2019-09-12,21,18.7,2122,22.9,2,3.9
108,서울,2019-09-13,23.3,18.3,453,29.3,1555,.1
108,서울,2019-09-14,22.4,20.8,2353,24.1,1138,.3
108,서울,2019-09-15,24.2,19.5,638,30,1636,
108,서울,2019-09-16,24.5,20.7,630,30.5,1608,
108,서울,2019-09-17,23.5,18,611,29,1549,
108,서울,2019-09-18,21,16,2358,25.4,1328,
108,서울,2019-09-19,19.5,13.6,445,26,1554,
108,서울,2019-09-20,19.6,15.8,439,24.2,1341,
108,서울,2019-09-21,19.6,18.3,530,22.1,1242,
108,서울,2019-09-22,18.6,17.3,558,19.6,1117,.4
108,서울,2019-09-23,20,16.9,636,24.6,1655,
108,서울,2019-09-24,19.8,13.9,625,26.5,1443,
108,서울,2019-09-25,20.9,14.8,617,27.4,1433,
108,서울,2019-09-26,22.9,17.7,618,29,1407,
108,서울,2019-09-27,22.9,19.6,609,27,1421,
108,서울,2019-09-28,23.7,19.4,656,29.2,1410,
108,서울,2019-09-29,22.6,17.9,623,28.6,1502,
108,서울,2019-09-30,22.4,16.4,631,29.9,1445,
108,서울,2019-10-01,23.1,17.6,622,28.2,1536,
108,서울,2019-10-02,21.6,20,2330,24.2,1112,23.1
108,서울,2019-10-03,22.4,19.8,452,27.3,1435,4.6
108,서울,2019-10-04,22.4,18,636,27.8,1442,
108,서울,2019-10-05,18.7,14.7,2358,21.9,1439,.6
108,서울,2019-10-06,18.1,13.2,604,22.7,1444,
108,서울,2019-10-07,14.8,13.3,2309,17.9,1,25.4
108,서울,2019-10-08,14.7,10.6,2331,19.8,1442,
108,서울,2019-10-09,13.6,7.7,704,20.4,1441,
108,서울,2019-10-10,15.2,10.7,215,19.8,1508,
108,서울,2019-10-11,18.8,13,659,26.1,1548,
108,서울,2019-10-12,17.9,13.3,2346,23.3,1319,
108,서울,2019-10-13,17.2,12.1,413,23.8,1517,
108,서울,2019-10-14,14.4,9.5,2358,19.6,1410,
108,서울,2019-10-15,14.5,8.8,155,20.4,1355,
108,서울,2019-10-16,14.6,9,656,20.8,1450,
108,서울,2019-10-17,15.4,11.2,600,21.6,1532,
108,서울,2019-10-18,17,12,419,22.7,1336,
108,서울,2019-10-19,17,12.1,710,23.1,1546,
108,서울,2019-10-20,16.5,12,642,22.9,1438,
108,서울,2019-10-21,17.1,10.9,637,24.6,1443,
108,서울,2019-10-22,18.1,13.3,700,24.4,1431,
108,서울,2019-10-23,17,14.3,649,20.7,1414,
108,서울,2019-10-24,18.3,15.3,217,23.8,1504,
108,서울,2019-10-25,16.7,13.1,2357,22,1228,0
108,서울,2019-10-26,10,6.6,732,14.9,1327,
108,서울,2019-10-27,11,4.7,729,17.4,1515,
108,서울,2019-10-28,12.9,7.4,532,17.7,1236,1.7
108,서울,2019-10-29,12.5,8.2,2400,17.6,1300,.1
108,서울,2019-10-30,11.2,5,706,17.7,1336,
108,서울,2019-10-31,14.8,8.4,644,19.7,1430,
108,서울,2019-11-01,14.9,11.4,2352,20.5,1413,
108,서울,2019-11-02,13.6,8.3,626,18.7,1451,
108,서울,2019-11-03,14.7,9.4,721,22.1,1455,
108,서울,2019-11-04,13.8,9.2,650,20.3,1506,
108,서울,2019-11-05,12.4,8.4,653,18.4,1440,
108,서울,2019-11-06,11,6.3,710,16.5,1422,
108,서울,2019-11-07,9.2,5,2357,13.6,1320,
108,서울,2019-11-08,6.8,1.1,724,13,1443,
108,서울,2019-11-09,9.5,3.5,657,17.2,1455,
108,서울,2019-11-10,10,6.2,419,15.3,1524,11.8
108,서울,2019-11-11,11.2,7.9,2359,15.1,1406,1.1
108,서울,2019-11-12,9.3,4.8,728,14.5,1419,
108,서울,2019-11-13,7.2,3,2357,11.3,1343,7.5
108,서울,2019-11-14,1.3,-2.5,739,5,1521,
108,서울,2019-11-15,5.6,1.4,1,7.6,1515,18.8
108,서울,2019-11-16,6.8,3.8,553,12.7,1557,
108,서울,2019-11-17,8.3,5.6,4,10.5,2400,21.1
108,서울,2019-11-18,4.6,.4,2103,12.7,120,14.7
108,서울,2019-11-19,.2,-3.5,729,4,1416,0
108,서울,2019-11-20,.5,-4.6,722,6.3,1514,
108,서울,2019-11-21,4.2,-2.3,649,9,1336,
108,서울,2019-11-22,9.7,3,714,17.3,1538,
108,서울,2019-11-23,12.1,7.7,254,17.7,1503,
108,서울,2019-11-24,9.8,4.6,2354,15.6,1220,3.8
108,서울,2019-11-25,1.9,-1.2,733,6,1541,
108,서울,2019-11-26,6.6,1.2,241,13.7,1303,
108,서울,2019-11-27,3.1,.3,2355,6.8,1423,
108,서울,2019-11-28,3.5,-.6,245,10.4,1330,
108,서울,2019-11-29,1.5,-3.4,745,6.9,1556,
108,서울,2019-11-30,4.1,-1.4,552,9.3,1301,
108,서울,2019-12-01,4.6,2.3,2354,6.2,1212,3.3
108,서울,2019-12-02,-.1,-3.2,2355,2.8,1404,
108,서울,2019-12-03,.5,-5,520,4.2,1501,.6
108,서울,2019-12-04,2,-2,757,7.2,1403,0
108,서울,2019-12-05,-4.4,-8.5,2335,-.2,3,
108,서울,2019-12-06,-5.9,-10.6,753,-1,1524,
108,서울,2019-12-07,-2.4,-5.5,154,1.2,1603,.1
108,서울,2019-12-08,-.9,-5.5,743,4.9,1445,
108,서울,2019-12-09,3.2,-1.3,301,8,2311,0
108,서울,2019-12-10,8.1,6,825,10.8,1532,1.7
108,서울,2019-12-11,6.3,.1,2357,9.8,647,.2
108,서울,2019-12-12,-.7,-3.5,813,3.4,1458,
108,서울,2019-12-13,2.1,-3.7,629,5.9,2209,1
108,서울,2019-12-14,2.7,-.1,812,6.4,1424,0
108,서울,2019-12-15,5.3,.4,225,11,1453,
108,서울,2019-12-16,7.8,2.1,517,12.9,1531,
108,서울,2019-12-17,7.7,3.2,2356,10.2,1,9.8
108,서울,2019-12-18,.8,-1.7,815,5.2,1339,
108,서울,2019-12-19,-.8,-4.5,740,3.1,1506,0
108,서울,2019-12-20,-1.1,-3.5,2352,2,1422,0
108,서울,2019-12-21,-1.2,-5.1,603,1.5,1344,.6
108,서울,2019-12-22,4.1,.3,703,8.4,1513,.3
108,서울,2019-12-23,3.4,.3,2351,5.2,1,2.9
108,서울,2019-12-24,.8,-2.9,658,6.5,1451,
108,서울,2019-12-25,2,-2.7,539,6.6,1453,
108,서울,2019-12-26,2,-2.4,2354,4.1,1439,.3
108,서울,2019-12-27,-1.7,-4.6,724,2.6,1442,
108,서울,2019-12-28,1.1,-3.6,336,6.1,1347,
108,서울,2019-12-29,3.8,1.1,43,6.2,1525,1.4
108,서울,2019-12-30,2.7,-5.7,2359,6.8,1131,.4
108,서울,2019-12-31,-7.9,-10.9,734,-4.5,1526,0
